tag,group,codes,notes,annual_return,sharpe_ratio,max_drawdown,annual_volatility,total_return,final_value,benchmark_annual,benchmark_sharpe,benchmark_drawdown,asset_first_buy,asset_buy_count,asset_sell_count,dip_add_count,asset_gross_buy,asset_net_sell,permanent_dip_add_enabled,permanent_dip_threshold,permanent_dip_add_weight,permanent_max_weight,alpha_vs_hs300
PERMHOLD_BASE_EXPANDED,BASE,"513100.SH,513180.SH,513500.SH,513520.SH,518880.SH",expanded-pool baseline,0.26575264187932296,1.293024649445526,-0.22322421872931864,0.20552790079700556,20.30275287528004,10651376.437640019,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,580,425,0,155062524.09999996,153825205.20472002,False,0.1,0.05,0.4,0.22388080733299537
PERMHOLD_NASDAQ100_HOLDONLY,NASDAQ100,513100.SH,"permanent hold, no dip add",0.22006981270737408,0.940948154843203,-0.5416247006140766,0.23388091211470188,9.322392404400015,5161196.202200008,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,7,0,0,801198.2,0.0,False,0.1,0.05,0.4,0.1781979781610465
PERMHOLD_NASDAQ100_DIP10_ADD5_MAX35,NASDAQ100,513100.SH,"drawdown >=10%, add 5%, max 35%",0.20293421509177537,0.8864836187447023,-0.542541922629168,0.22892043440028667,7.449086343720015,4224543.171860008,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,10,0,6,607182.4,0.0,True,0.1,0.05,0.35,0.16106238054544778
PERMHOLD_NASDAQ100_DIP15_ADD5_MAX40,NASDAQ100,513100.SH,"drawdown >=15%, add 5%, max 40%",0.20473822970479277,0.8946111399964465,-0.5432319832786292,0.2288572325464291,7.643289155400016,4321644.577700008,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,10,0,6,719794.2999999999,0.0,True,0.15,0.05,0.4,0.16286639515846518
PERMHOLD_NASDAQ100_DIP20_ADD10_MAX50,NASDAQ100,513100.SH,"drawdown >=20%, add 10%, max 50%",0.20367272937192496,0.8940526040099455,-0.5375575729401092,0.2278084404188585,7.5542547912400195,4277127.39562001,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,11,0,7,1062275.0999999999,0.0,True,0.2,0.1,0.5,0.16180089482559737
PERMHOLD_SP500_HOLDONLY,SP500,513500.SH,"permanent hold, no dip add",0.21576808375464532,1.174633104833603,-0.31631735394218297,0.18368976905789725,10.962342717880022,5981171.358940011,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2014-03-27,9,0,0,747935.2999999999,0.0,False,0.1,0.05,0.4,0.17389624920831773
PERMHOLD_SP500_DIP10_ADD5_MAX35,SP500,513500.SH,"drawdown >=10%, add 5%, max 35%",0.20746225515232722,1.1508286391662896,-0.31631735394218297,0.18027206492064876,9.865053097200015,5432526.548600008,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2014-03-27,13,0,5,786075.8999999999,0.0,True,0.1,0.05,0.35,0.16559042060599963
PERMHOLD_SP500_DIP15_ADD5_MAX40,SP500,513500.SH,"drawdown >=15%, add 5%, max 40%",0.20507001135919126,1.1454586461655352,-0.31631735394218297,0.1790287340757963,9.573888448680018,5286944.224340009,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2014-03-27,13,0,5,763861.5,0.0,True,0.15,0.05,0.4,0.16319817681286367
PERMHOLD_SP500_DIP20_ADD10_MAX50,SP500,513500.SH,"drawdown >=20%, add 10%, max 50%",0.20118636514375507,1.137521795133751,-0.31631735394218297,0.17686374538441205,9.120873606200021,5060436.80310001,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2014-03-27,13,0,5,704861.7999999999,0.0,True,0.2,0.1,0.5,0.15931453059742748
PERMHOLD_GOLD_HOLDONLY,GOLD,518880.SH,"permanent hold, no dip add",0.2092287165706155,1.3726213137889,-0.16030124855626782,0.15243003621521317,10.831962886200014,5915981.443100007,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2014-01-20,5,0,0,339738.19999999995,0.0,False,0.1,0.05,0.4,0.16735688202428792
PERMHOLD_GOLD_DIP10_ADD5_MAX35,GOLD,518880.SH,"drawdown >=10%, add 5%, max 35%",0.20745996322028246,1.363783408503523,-0.15990431713060094,0.15212090272305623,10.580052497760017,5790026.248880008,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2014-01-20,7,0,3,648788.8,0.0,True,0.1,0.05,0.35,0.16558812867395487
PERMHOLD_GOLD_DIP15_ADD5_MAX40,GOLD,518880.SH,"drawdown >=15%, add 5%, max 40%",0.2092287165706155,1.3726213137889,-0.16030124855626782,0.15243003621521317,10.831962886200014,5915981.443100007,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2014-01-20,5,0,0,339738.19999999995,0.0,True,0.15,0.05,0.4,0.16735688202428792
PERMHOLD_GOLD_DIP20_ADD10_MAX50,GOLD,518880.SH,"drawdown >=20%, add 10%, max 50%",0.20918446536649662,1.3724384770122309,-0.16030124855626782,0.15241810024292435,10.825687386440022,5912843.693220011,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2014-01-20,6,0,1,346185.19999999995,0.0,True,0.2,0.1,0.5,0.16731263082016903
PERMHOLD_NIKKEI225_HOLDONLY,NIKKEI225,513520.SH,"permanent hold, no dip add",0.26109519537071146,1.3771503751494343,-0.22322421872931864,0.18959091184387186,19.895050051680045,10447525.025840022,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2019-09-25,13,0,0,1376101.1,0.0,False,0.1,0.05,0.4,0.21922336082438387
PERMHOLD_NIKKEI225_DIP10_ADD5_MAX35,NIKKEI225,513520.SH,"drawdown >=10%, add 5%, max 35%",0.2507193335095558,1.3559732247651786,-0.22322421872931864,0.18489991463730726,17.550640025080043,9275320.012540022,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2019-09-25,13,0,9,921638.1,0.0,True,0.1,0.05,0.35,0.20884749896322818
PERMHOLD_NIKKEI225_DIP15_ADD5_MAX40,NIKKEI225,513520.SH,"drawdown >=15%, add 5%, max 40%",0.24777116757172865,1.3417570948598692,-0.22322421872931864,0.18466171598489325,16.886846750160032,8943423.375080016,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2019-09-25,13,0,8,897599.1,0.0,True,0.15,0.05,0.4,0.20589933302540106
PERMHOLD_NIKKEI225_DIP20_ADD10_MAX50,NIKKEI225,513520.SH,"drawdown >=20%, add 10%, max 50%",0.24866191275524793,1.3446908280859002,-0.22322421872931864,0.18492125294645287,17.075830127080046,9037915.063540023,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2019-09-25,8,0,5,939196.5,0.0,True,0.2,0.1,0.5,0.20679007820892034
PERMHOLD_HSTECH_HOLDONLY,HSTECH,513180.SH,"permanent hold, no dip add",0.25386313228230284,1.2519627180177677,-0.22322421872931864,0.20277211823387545,17.48408408816004,9242042.044080019,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2022-06-17,5,0,0,581633.1,0.0,False,0.1,0.05,0.4,0.21199129773597525
PERMHOLD_HSTECH_DIP10_ADD5_MAX35,HSTECH,513180.SH,"drawdown >=10%, add 5%, max 35%",0.24084578875004256,1.1901108807434575,-0.22322421872931864,0.20237256263011996,14.721418862600032,7860709.431300016,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2022-06-17,9,0,8,974049.9,0.0,True,0.1,0.05,0.35,0.19897395420371497
PERMHOLD_HSTECH_DIP15_ADD5_MAX40,HSTECH,513180.SH,"drawdown >=15%, add 5%, max 40%",0.23112453336540592,1.1479258608405218,-0.22322421872931864,0.20134099356919655,12.95828316292004,6979141.58146002,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2022-06-17,13,0,10,1653350.8,0.0,True,0.15,0.05,0.4,0.18925269881907833
PERMHOLD_HSTECH_DIP20_ADD10_MAX50,HSTECH,513180.SH,"drawdown >=20%, add 10%, max 50%",0.23960278769791274,1.1954099691111442,-0.22322421872931864,0.20043566131213642,14.554347085040028,7777173.542520015,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2022-06-17,10,0,6,1454363.2999999998,0.0,True,0.2,0.1,0.5,0.19773095315158515
PERMHOLD_US_GOLD_HOLDONLY,US_GOLD,"513100.SH,513500.SH,518880.SH","permanent hold, no dip add",0.133612435658382,0.5975632174697607,-0.6696386318512899,0.22359548203808807,2.548319224320004,1774159.612160002,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,27,0,0,486278.0,0.0,False,0.1,0.05,0.4,0.0917406011120544
PERMHOLD_US_GOLD_DIP10_ADD5_MAX35,US_GOLD,"513100.SH,513500.SH,518880.SH","drawdown >=10%, add 5%, max 35%",0.12435416210700119,0.5611976668345345,-0.661951028617486,0.22158709748104888,2.1759792406000042,1587989.6203000022,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,32,0,5,566950.2999999999,0.0,True,0.1,0.05,0.35,0.0824823275606736
PERMHOLD_US_GOLD_DIP15_ADD5_MAX40,US_GOLD,"513100.SH,513500.SH,518880.SH","drawdown >=15%, add 5%, max 40%",0.12452371294567427,0.5558045833056167,-0.6699674153996449,0.22404225637197242,2.163330978120004,1581665.489060002,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,30,0,4,563504.6,0.0,True,0.15,0.05,0.4,0.08265187839934668
PERMHOLD_US_GOLD_DIP20_ADD10_MAX50,US_GOLD,"513100.SH,513500.SH,518880.SH","drawdown >=20%, add 10%, max 50%",0.1266359293016107,0.5645711593861845,-0.668355087923675,0.224304637593058,2.2456071791200034,1622803.5895600016,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,27,0,1,549241.7,0.0,True,0.2,0.1,0.5,0.0847640947552831
