setting,horizon,rebalance_interval,tag,annual_return,sharpe_ratio,max_drawdown,total_return,final_value,trade_count,buy_count,sell_count,active_total_return,active_annual_return,active_sharpe,active_max_drawdown
F2_CAP_MA60,LONG_2013_2026,1,RIS_LONG_2013_2026_F2_CAP_MA60_RI1,0.2901293434750836,1.467531883477512,-0.1897816639348089,28.463818178191545,14731909.089095773,7562,4341,3221,,,,
F2_CAP_MA60,LONG_2013_2026,2,RIS_LONG_2013_2026_F2_CAP_MA60_RI2,0.27465634087210955,1.368645732609568,-0.1974544335651861,23.107499511342827,12053749.755671414,5190,2924,2266,,,,
F2_CAP_MA60,LONG_2013_2026,3,RIS_LONG_2013_2026_F2_CAP_MA60_RI3,0.2631799144829543,1.3282180211007493,-0.1964369448260187,20.00495485234281,10502477.426171405,4072,2265,1807,,,,
F2_CAP_MA60,LONG_2013_2026,5,RIS_LONG_2013_2026_F2_CAP_MA60_RI5,0.2557093594638231,1.288076886599165,-0.24553351348115804,18.124469218181545,9562234.609090773,3047,1676,1371,,,,
F2_CAP_MA60,LONG_2013_2026,7,RIS_LONG_2013_2026_F2_CAP_MA60_RI7,0.21158982208297786,1.0744332806609347,-0.2500025353547186,10.053232273990924,5526616.136995462,2366,1268,1098,,,,
F2_CAP_MA60,LONG_2013_2026,10,RIS_LONG_2013_2026_F2_CAP_MA60_RI10,0.16771799292137493,0.8679823545566434,-0.25833797677110526,5.4416189507376815,3220809.4753688406,1919,1009,910,,,,
F2_CAP_MA60,LONG_2013_2026,15,RIS_LONG_2013_2026_F2_CAP_MA60_RI15,0.20031380341276733,1.1440230332358443,-0.3708707894194836,9.100135154806733,5050067.577403367,1359,707,652,,,,
F2_CAP_MA60,LONG_2013_2026,20,RIS_LONG_2013_2026_F2_CAP_MA60_RI20,0.10238218504522519,0.5874361155817752,-0.4724588269116379,1.9729091042955145,1486454.5521477573,1176,602,574,,,,
F2_CAP_MA60,NOWARMUP_2026,1,RIS_NOWARMUP_2026_F2_CAP_MA60_RI1,0.9185544779517901,3.2996043001117132,-0.1576248773716744,0.7963207404938113,898160.3702469056,347,190,157,0.7963207404938113,1.4157536907880803,4.138737341728363,-0.1576248773716743
F2_CAP_MA60,NOWARMUP_2026,2,RIS_NOWARMUP_2026_F2_CAP_MA60_RI2,0.8410144634770593,2.996162451316897,-0.11471928037577228,0.7052854159042474,852642.7079521237,234,128,106,0.7052854159042474,1.2962424758178528,3.7502076205728243,-0.11471928037577228
F2_CAP_MA60,NOWARMUP_2026,3,RIS_NOWARMUP_2026_F2_CAP_MA60_RI3,0.5606560414692022,1.9799290413639206,-0.1431571011342222,0.4147086972418188,707354.3486209094,187,103,84,0.4147086972418188,0.8641304125396879,2.46452521587317,-0.1431571011342222
F2_CAP_MA60,NOWARMUP_2026,5,RIS_NOWARMUP_2026_F2_CAP_MA60_RI5,0.591516789736576,2.145675020083416,-0.11899857692987892,0.44599626477948595,722998.132389743,130,70,60,0.44599626477948595,0.9116956025297686,2.67283049816764,-0.11899857692987881
F2_CAP_MA60,NOWARMUP_2026,7,RIS_NOWARMUP_2026_F2_CAP_MA60_RI7,0.4201763249079347,1.6687040298631983,-0.10924377629506588,0.2956443689250199,647822.1844625099,109,58,51,0.2956443689250199,0.6476112163718627,2.0745612014358517,-0.10924377629506588
F2_CAP_MA60,NOWARMUP_2026,10,RIS_NOWARMUP_2026_F2_CAP_MA60_RI10,0.2625698876791594,1.111785244051714,-0.1438801074397893,0.16938617192477956,584693.0859623898,88,46,42,0.16938617192477956,0.4046948727531998,1.379869733259478,-0.14388010743978918
F2_CAP_MA60,NOWARMUP_2026,15,RIS_NOWARMUP_2026_F2_CAP_MA60_RI15,0.6080760577534187,2.3635565349881915,-0.17442050853022462,0.4666217660135119,733310.883006756,66,35,31,0.4666217660135119,0.937218144060315,2.947403491406917,-0.17442050853022462
F2_CAP_MA60,NOWARMUP_2026,20,RIS_NOWARMUP_2026_F2_CAP_MA60_RI20,0.05724666896313052,0.26633233813539714,-0.1616951832508131,0.023059792101993715,511529.8960509969,55,29,26,0.023059792101993715,0.08823339803491675,0.33013655348771903,-0.161695183250813
WideA,LONG_2013_2026,1,RIS_LONG_2013_2026_WideA_RI1,0.3711889510314969,1.6210120376852388,-0.19660448902351257,73.72698731472012,37363493.65736006,5877,3395,2482,,,,
WideA,LONG_2013_2026,2,RIS_LONG_2013_2026_WideA_RI2,0.3433660047973642,1.4458400894015275,-0.20919360328865966,50.476111462258665,25738055.731129333,4055,2297,1758,,,,
WideA,LONG_2013_2026,3,RIS_LONG_2013_2026_WideA_RI3,0.3010245334826911,1.3179605460803583,-0.21566615386256427,30.115174444397972,15557587.222198986,3172,1760,1412,,,,
WideA,LONG_2013_2026,5,RIS_LONG_2013_2026_WideA_RI5,0.2946182554616603,1.2692989442546787,-0.25977474750496465,27.427629523024574,14213814.761512287,2342,1277,1065,,,,
WideA,LONG_2013_2026,7,RIS_LONG_2013_2026_WideA_RI7,0.23940569583502325,1.100375210067555,-0.36903407233538044,13.843296694100488,7421648.347050244,1846,995,851,,,,
WideA,LONG_2013_2026,10,RIS_LONG_2013_2026_WideA_RI10,0.1764481994501381,0.7848176961574236,-0.35448934076913363,5.61805309435184,3309026.54717592,1470,778,692,,,,
WideA,LONG_2013_2026,15,RIS_LONG_2013_2026_WideA_RI15,0.22384251398575591,1.1282348555588795,-0.3815386489015302,11.846142365168495,6423071.182584248,1030,540,490,,,,
WideA,LONG_2013_2026,20,RIS_LONG_2013_2026_WideA_RI20,0.11993732996457185,0.5687869708693428,-0.5557070438728506,2.391554241729787,1695777.1208648935,918,470,448,,,,
WideA,NOWARMUP_2026,1,RIS_NOWARMUP_2026_WideA_RI1,1.1515087769925816,3.3932528719348345,-0.1633325584236034,1.0713316006352889,1035665.8003176445,288,165,123,1.0713316006352889,1.7748025186674654,4.259156688510535,-0.1633325584236035
WideA,NOWARMUP_2026,2,RIS_NOWARMUP_2026_WideA_RI2,0.6950211041986488,2.0221359611084795,-0.16729452899613018,0.5276350626864277,763817.5313432139,193,112,81,0.5276350626864277,1.071225188122688,2.5175258697383454,-0.1672945289961303
WideA,NOWARMUP_2026,3,RIS_NOWARMUP_2026_WideA_RI3,0.5533720233784404,1.694368341969485,-0.1517373769557111,0.39552529955421867,697762.6497771094,154,87,67,0.39552529955421867,0.8529036690603485,2.1066651574274395,-0.1517373769557111
WideA,NOWARMUP_2026,5,RIS_NOWARMUP_2026_WideA_RI5,0.7233486868474293,2.5664796409829025,-0.1283119648243225,0.5768231947325513,788411.5973662756,109,62,47,0.5768231947325513,1.1148860494529185,3.203960033031766,-0.1283119648243226
WideA,NOWARMUP_2026,7,RIS_NOWARMUP_2026_WideA_RI7,0.5885523372499567,1.9975086934755442,-0.1284814572838595,0.4379369129051258,718968.4564525629,93,52,41,0.4379369129051258,0.9071265381467222,2.4865970238124007,-0.1284814572838595
WideA,NOWARMUP_2026,10,RIS_NOWARMUP_2026_WideA_RI10,0.3927436793380822,1.5989918916405272,-0.1325660599748827,0.2733376010628792,636668.8005314396,69,38,31,0.2733376010628792,0.6053297076036497,1.9874018576844883,-0.13256605997488258
WideA,NOWARMUP_2026,15,RIS_NOWARMUP_2026_WideA_RI15,0.6500220047185871,2.459169804194657,-0.18176033066720187,0.5062283790248134,753114.1895124067,51,27,24,0.5062283790248134,1.0018687779148865,3.068182817509261,-0.18176033066720187
WideA,NOWARMUP_2026,20,RIS_NOWARMUP_2026_WideA_RI20,0.1082677944805075,0.49654590068069265,-0.14999997817446886,0.057984965806847644,528992.4829034238,38,20,18,0.057984965806847644,0.16687146305252532,0.6156183354959839,-0.14999997817446886
